,desvio_padrao,max,min,label
0,55.06760402858538,-11708,-15560,ax0
1,50.12992495874819,-5948,-10228,ay0
2,67.71880181563131,-228,-4212,az0
3,109.10552149969654,2136,-1934,gx0
4,179.56891371777976,2902,-2094,gy0
5,48.675275148515006,1162,-1206,gz0
6,70.92355741103131,504,-4360,ax1
7,47.436736147327004,14044,9984,ay1
8,56.104684325074835,12960,9560,az1
9,94.9794669108668,1487,-1395,gx1
10,62.657343089124296,1561,-1182,gy1
11,140.13756996607304,1215,-3289,gz1
12,92.69294404435811,-1516,-6548,ax2
13,161.92136534494458,4,-11008,ay2
14,1696.545259997899,16280,-16336,az2
15,203.40378879159613,1420,-3389,gx2
16,148.83761169244457,3505,-1015,gy2
17,84.36261541912837,1138,-1836,gz2
18,98.90378674783393,6956,2492,ax3
19,125.94248365805028,-11852,-16068,ay3
20,156.8907909382273,9296,2556,az3
21,253.37194093369857,1331,-4977,gx3
22,172.9015678408706,3359,-1648,gy3
23,87.11439657116438,1440,-1164,gz3
24,87.60417664154872,644,-3940,ax4
25,72.43204977731651,-10880,-14964,ay4
26,97.84618940179254,12332,6124,az4
27,113.6551045239218,684,-3031,gx4
28,170.50785720586333,3691,-1478,gy4
29,68.03025361714467,1122,-1421,gz4
